[Income] Year: 2025, Amount: 75000, Event name: salary
[Expense]: Year: 2025, Amount: 5000, Expense: food
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Expense]: Year: 2025, Amount: 0, Expense: State Income
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Expense]: Year: 2025, Amount: 0, Expense: Federal Income
[Income] Year: 2026, Amount: 76348, Event name: salary
[Expense]: Year: 2026, Amount: 5000, Expense: food
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Expense]: Year: 2026, Amount: 6732.444275345779, Expense: State Income
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Expense]: Year: 2026, Amount: 0, Expense: Federal Income
[Income] Year: 2027, Amount: 77131, Event name: salary
[Expense]: Year: 2027, Amount: 5000, Expense: food
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Expense]: Year: 2027, Amount: 6884.8076678573325, Expense: State Income
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Expense]: Year: 2027, Amount: 0, Expense: Federal Income
[Income] Year: 2028, Amount: 78208, Event name: salary
[Expense]: Year: 2028, Amount: 5000, Expense: food
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Expense]: Year: 2028, Amount: 7008.443603892729, Expense: State Income
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Expense]: Year: 2028, Amount: 0, Expense: Federal Income
[Income] Year: 2029, Amount: 80133, Event name: salary
[Expense]: Year: 2029, Amount: 5000, Expense: food
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Expense]: Year: 2029, Amount: 7150.664752484034, Expense: State Income
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Expense]: Year: 2029, Amount: 0, Expense: Federal Income
[Income] Year: 2030, Amount: 81917, Event name: salary
[Expense]: Year: 2030, Amount: 5000, Expense: food
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Expense]: Year: 2030, Amount: 7342.016302273405, Expense: State Income
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Expense]: Year: 2030, Amount: 0, Expense: Federal Income
[Income] Year: 2031, Amount: 83850, Event name: salary
[Expense]: Year: 2031, Amount: 5000, Expense: food
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Expense]: Year: 2031, Amount: 7528.1780913053335, Expense: State Income
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Expense]: Year: 2031, Amount: 0, Expense: Federal Income
[Income] Year: 2032, Amount: 85354, Event name: salary
[Expense]: Year: 2032, Amount: 5000, Expense: food
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Expense]: Year: 2032, Amount: 7725.175333457879, Expense: State Income
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Expense]: Year: 2032, Amount: 0, Expense: Federal Income
[Income] Year: 2033, Amount: 86940, Event name: salary
[Expense]: Year: 2033, Amount: 5000, Expense: food
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Expense]: Year: 2033, Amount: 7901.297301367167, Expense: State Income
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Expense]: Year: 2033, Amount: 0, Expense: Federal Income
[Income] Year: 2034, Amount: 87740, Event name: salary
[Expense]: Year: 2034, Amount: 5000, Expense: food
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Expense]: Year: 2034, Amount: 8084.731810445026, Expense: State Income
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Expense]: Year: 2034, Amount: 0, Expense: Federal Income
[Income] Year: 2035, Amount: 88270, Event name: salary
[Expense]: Year: 2035, Amount: 5000, Expense: food
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Expense]: Year: 2035, Amount: 8227.823872797426, Expense: State Income
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Expense]: Year: 2035, Amount: 0, Expense: Federal Income
[Income] Year: 2036, Amount: 88914, Event name: salary
[Expense]: Year: 2036, Amount: 5000, Expense: food
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Expense]: Year: 2036, Amount: 8359.037264330373, Expense: State Income
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Expense]: Year: 2036, Amount: 0, Expense: Federal Income
[Income] Year: 2037, Amount: 90709, Event name: salary
[Expense]: Year: 2037, Amount: 5000, Expense: food
